,bic,isin,kurz,min,max,Negativní scéná? (r?stová míra %),Neutrální scéná? (r?stová míra %),Pozitivní scéná? (r?stová míra %)
"HZL RB CRR 1,00/30",BDVRZBC,CZ0002007057,100.36,100.36,100.36,-0.21,-1.36,0.00
COLTCZ VAR/29,BDBCZGCE,CZ0003537029,100,100,100,-1.41,-2.35,-0.98
HZL HB VAR/37 - 4,BOHREGI,CZ0002001712,115.18,115.18,115.18,2.43,-0.26,-2.17
"ST.DLUHOP. 1,25/25",BGTSTDL,CZ0001005870,98.73,98.73,98.73,0.65,1.23,1.91
ST.DLUHOP. VAR/31,BHMSTDL,CZ0001006241,100.51,100.51,100.51,-1.29,-0.36,1.26
"?D CARGO 2,55/25",BDGCDCAR,CZ0003519456,100,100,100,2.08,-0.45,-0.64
"ST.DLUHOP. 0,00/24",BHTSTDL,CZ0001006480,98.76,98.76,98.76,0.48,-0.50,-1.05
EUC VAR/27,BDBEUC,CZ0003540965,100,100,100,1.19,0.67,-0.74
HZL UCB VAR/37,BDGVERBA,CZ0002001910,117.19,117.19,117.19,-1.90,-0.96,1.86
"ST.DLUHOP. 6,20/31",BICSTDL,CZ0001006969,112.08,112.08,112.08,0.84,-2.00,-2.20
"?SNF SICAV 8,30/27",BDEBOHRE,CZ0003548893,101.06,101.06,101.06,-1.95,-0.65,-1.04
UNICAP.INV. VAR/25,BDAUNIIP,CZ0003538100,100,100,100,0.84,2.56,1.94
"ST.DLUHOP. 0,25/27",BGBSTDL,CZ0001005037,96.81,96.81,96.81,-2.24,-1.40,-1.60
"ST.DLUHOP. 0,05/29",BHDSTDL,CZ0001006076,91.93,91.93,91.93,-0.72,-0.72,-1.97
"DIRECT 8,60/27",BDCDIRFI,CZ0003556458,100,100,100,-0.87,-0.91,-0.11
"SATPO FIN. 7,10/26",BDASATFI,CZ0003537052,100,100,100,-1.47,-0.88,-1.08
CSG VAR/26,BDECZEGR,CZ0003532681,98.3,98.3,98.3,-1.50,-2.13,-0.32
"HZL UCB 3,04/28",BDJVERBA,CZ0002003114,100,100,100,-0.18,-0.13,-1.84
"MONETA MB 3,30/29",BDAGECBA,CZ0003704918,100,100,100,-0.11,-0.47,-1.04
"NET4GAS 2,75/25",,CZ0003519472,99.95,99.95,99.95,0.49,0.48,-2.04
"UCINV III 6,50/26",BDAUNIIO,CZ0003523268,100,100,100,-2.02,-1.33,2.23
SPP 26T 19/01,BIJSTDL,CZ0001007231,98.11,98.11,98.11,0.16,0.15,-2.06
"?S 7,41/27",BOOCSPO,CZ0003707291,100,100,100,1.69,2.26,1.09
"ST.DLUHOP. 0,00/27",BHCSTDL,CZ0001006043,100.1,100.1,100.1,-0.29,1.08,1.63
"ST.DLUHOP. 3,50/35",BHSSTDL,CZ0001006431,105.56,105.56,105.56,-1.29,-0.39,0.69
?SNF SICAV VAR/26,BDBBOHRE,CZ0003542458,99.78,99.78,99.78,-2.26,-2.35,-1.85
"ST.DLUHOP. 0,95/30",BEUSTDL,CZ0001004477,95.66,95.66,95.66,-0.97,-0.81,1.69
"ST.DLUHOP. 2,00/33",BGCSTDL,CZ0001005243,102.5,102.5,102.5,-1.24,0.77,0.81
"PSG 7,60/28",BDCPASFI,CZ0003549214,100,100,100,0.74,0.10,1.17
UNICAP.INV. VAR/26,BDCUNIIP,CZ0003557159,100,100,100,-0.32,0.38,0.52
CSG VAR/24,BDDCZEGR,CZ0003523151,100,100,100,-1.56,-1.70,-0.11
"ST.DLUHOP. 5,00/30",BHWSTDL,CZ0001006688,107.21,107.21,107.21,0.35,0.71,-1.43
"ST.DLUHOP. 4,20/36",BCASTDL,CZ0001001796,99.61,99.61,99.61,0.74,1.61,2.44
CITY HF III VAR/27,BDACITHQ,CZ0003552143,100,100,100,-2.38,-2.57,-0.59
"?SNF SICAV 6,90/27",BDGBOHRE,CZ0003548919,100.88,100.88,100.88,1.65,1.98,-0.54
"?SNF SICAV 7,80/26",BDCBOHRE,CZ0003542466,99.81,99.81,99.81,0.90,0.24,0.14
TRIGEMA REF VAR/25,BDDTRIRE,CZ0003537367,100,100,100,-1.40,-1.44,0.74
DEKINVEST VAR/26,BDADEKIN,CZ0003553190,100,100,100,-0.20,-0.65,-0.25
"ST.DLUHOP. 5,75/29",BIDSTDL,CZ0001007025,107.83,107.83,107.83,1.68,2.64,2.38
"ST.DLUHOP. 4,50/32",BIESTDL,CZ0001007033,102.55,102.55,102.55,1.34,1.06,0.73
"HZL EQUA B.1,65/25",BDEICBA,CZ0002006893,100,100,100,1.75,1.58,-0.47
"ST.DLUHOP. 1,20/31",BGUSTDL,CZ0001005888,101.65,101.65,101.65,-0.95,0.19,1.24
"ST.DLUHOP. 0,00/24 - 1",BHISTDL,CZ0001006167,96.76,96.76,96.76,-2.24,0.33,1.48
COLTCZ VAR/30,BDCCZGCE,CZ0003550295,100,100,100,-0.91,1.11,0.30
REGIOJET F. VAR/24,BDAREGFI,CZ0003522203,91,91,91,-1.18,0.80,1.43
PSG VAR/29,BDBPASFI,CZ0003544371,100,100,100,0.21,0.42,0.21
UNICAP.INV. VAR/25 - 1,BDBUNIIP,CZ0003545527,100,100,100,-1.90,0.06,0.75
"ST.DLUHOP. 2,40/25",BEQSTDL,CZ0001004253,99.37,99.37,99.37,-0.81,-0.75,-2.10
"ST.DLUHOP. 2,75/29",BGESTDL,CZ0001005375,107.24,107.24,107.24,-1.86,0.30,0.22
"GEVORK. CZ 4,50/26",BDAGEVCZ,CZ0003535809,100.34,100.34,100.34,0.96,-0.81,-2.33
AQUAPALACE VAR/34,BDAGVALE,CZ0003501637,100,100,100,-0.87,-0.85,1.94
"NET4GAS 2,745/31",BDCNETGA,CZ0003529794,100,100,100,1.70,-1.27,-1.50
